count,country
29,Afghanistan
36,Albania
134,Algeria
1,American Samoa
33,Angola
6,Anguilla
35,Antigua and Barbuda
88,Argentina
45,Armenia
44,Aruba
331,Australia
358,Austria
67,Azerbaijan
85,Bahamas
83,Bahrain
70,Bangladesh
23,Barbados
54,Belarus
407,Belgium
17,Belize
41,Benin
15,Bermuda
5,Bhutan
23,Bolivia
16,Bosnia and Herzegovina
14,Botswana
198,Brazil
16,British Virgin Islands
23,Brunei
80,Bulgaria
33,Burkina Faso
38,Burma
13,Burundi
59,Cambodia
53,Cameroon
678,Canada
24,Cape Verde
23,Cayman Islands
3,Central African Republic
9,Chad
58,Chile
1105,China
2,Christmas Island
1,Cocos (Keeling) Islands
116,Colombia
10,Comoros
34,Congo (Brazzaville)
26,Congo (Kinshasa)
8,Cook Islands
64,Costa Rica
50,Cote d'Ivoire
170,Croatia
75,Cuba
149,Cyprus
183,Czech Republic
280,Denmark
23,Djibouti
17,Dominica
159,Dominican Republic
4,East Timor
40,Ecuador
266,Egypt
51,El Salvador
14,Equatorial Guinea
7,Eritrea
39,Estonia
95,Ethiopia
1,Falkland Islands
4,Faroe Islands
40,Fiji
159,Finland
1355,France
7,French Guiana
17,French Polynesia
25,Gabon
12,Gambia
45,Georgia
1833,Germany
44,Ghana
6,Gibraltar
527,Greece
4,Greenland
14,Grenada
27,Guadeloupe
32,Guam
36,Guatemala
18,Guernsey
18,Guinea
6,Guinea-Bissau
9,Guyana
25,Haiti
43,Honduras
343,Hong Kong
98,Hungary
47,Iceland
402,India
214,Indonesia
121,Iran
73,Iraq
290,Ireland
11,Isle of Man
132,Israel
1299,Italy
72,Jamaica
590,Japan
36,Jersey
107,Jordan
96,Kazakhstan
131,Kenya
7,Kiribati
5,Korea
118,Kuwait
62,Kyrgyzstan
28,Laos
99,Latvia
67,Lebanon
1,Lesotho
18,Liberia
73,Libya
78,Lithuania
68,Luxembourg
76,Macau
24,Macedonia
25,Madagascar
15,Malawi
296,Malaysia
39,Maldives
28,Mali
112,Malta
5,Marshall Islands
23,Martinique
12,Mauritania
40,Mauritius
15,Mayotte
367,Mexico
5,Micronesia
34,Moldova
1,Monaco
11,Mongolia
27,Montenegro
285,Morocco
23,Mozambique
19,Namibia
3,Nauru
34,Nepal
559,Netherlands
87,Netherlands Antilles
13,New Caledonia
103,New Zealand
15,Nicaragua
17,Niger
64,Nigeria
1,Niue
3,Norfolk Island
9,Northern Mariana Islands
337,Norway
106,Oman
166,Pakistan
8,Palau
107,Panama
17,Papua New Guinea
18,Paraguay
81,Peru
137,Philippines
330,Poland
420,Portugal
102,Puerto Rico
185,Qatar
21,Reunion
149,Romania
809,Russia
39,Rwanda
15,Saint Kitts and Nevis
30,Saint Lucia
3,Saint Pierre and Miquelon
4,Saint Vincent and the Grenadines
5,Samoa
2,Sao Tome and Principe
393,Saudi Arabia
64,Senegal
100,Serbia
12,Seychelles
22,Sierra Leone
396,Singapore
23,Slovakia
33,Slovenia
8,Solomon Islands
15,Somalia
149,South Africa
140,South Korea
12,South Sudan
1899,Spain
96,Sri Lanka
35,Sudan
10,Suriname
1,Swaziland
296,Sweden
505,Switzerland
378,Taiwan
87,Tajikistan
42,Tanzania
381,Thailand
20,Togo
5,Tonga
37,Trinidad and Tobago
182,Tunisia
648,Turkey
15,Turkmenistan
28,Turks and Caicos Islands
1,Tuvalu
31,Uganda
182,Ukraine
725,United Arab Emirates
2326,United Kingdom
2380,United States
26,Uruguay
113,Uzbekistan
16,Vanuatu
65,Venezuela
152,Vietnam
40,Virgin Islands
2,Wallis and Futuna
7,Western Sahara
58,Yemen
41,Zambia
31,Zimbabwe
